Threads,CPU-Clock,Task-Clock,L1-Dcache-Loads,L1-Dcache-Load-Misses,Cache-References,Cache-Misses,Context-Switches
2,2743.97,2744.01,2292518885,239662,1836785,179194,50
4,2746.65,2746.73,2292616514,214492,1815357,222129,150
6,2750.91,2751.20,2294986418,323715,2537918,498064,404
8,2750.91,2751.13,2294706914,353163,2460336,450091,415
10,2755.17,2755.46,2295537527,374447,2851920,589169,596
15,2754.83,2755.12,2295225871,356378,2933760,621332,721
20,2758.69,2759.28,2296547594,425848,3516425,769649,1095
30,2763.52,2764.07,2300803544,835246,5024480,1207695,1413
50,2756.07,2756.46,2298493027,835621,4430760,972999,1072
100,2761.81,2762.29,2302856927,1180555,5697181,1308108,1123
