Threads,CPU-Clock,Task-Clock,L1-Dcache-Loads,L1-Dcache-Load-Misses,Cache-References,Cache-Misses,Context-Switches
2,2464.31,2464.51,2726918835,67917379,733312821,22111260,301
4,5710.49,5711.24,5076501912,88606059,796037371,28663203,1382
6,8117.58,8120.04,7327342098,77197085,765362825,23693563,6814
8,8462.09,8464.06,10196549545,161093984,1545857660,56117808,4520
10,8353.83,8355.39,12467205393,166033042,1546689510,46974502,5777
15,12483.57,12486.50,18273059116,193308067,1901067226,58319207,8746
20,16962.85,16966.15,24939765712,298826998,3016445147,94223266,11051
30,25845.22,25848.96,36798441055,402176013,3802483930,115092964,15767
50,43386.36,43395.81,61713601558,664525302,6762028934,222357472,31007
100,86854.94,86867.96,123193974542,1394587001,13156334572,432222058,65709
