Threads,CPU-Clock,Task-Clock,L1-Dcache-Loads,L1-Dcache-Load-Misses,Cache-References,Cache-Misses,Context-Switches
2,4.03,4.04,5578108,52703,230778,77061,4
4,4.38,4.39,5690745,57441,255145,93744,6
6,4.66,4.68,5857483,67008,302658,116534,11
8,4.86,4.88,5944852,74364,321448,119658,5
10,5.89,5.93,6107376,84477,380088,145766,16
15,5.39,5.42,6384001,100662,441419,156247,14
20,7.00,7.04,6682417,118356,514398,166685,16
30,7.01,7.06,7192361,181721,750691,218293,18
50,8.02,8.08,8353091,244577,1007634,255760,25
100,12.39,12.51,11059074,392657,1574695,405747,30
